Fighter: Thiago Santos (middleweight fighter) Glicko2: 1938.47
Fighter: Mamed Khalidov             Glicko2: 1938.45
Fighter: Darren Till                Glicko2: 1937.38
Fighter: Blagoi Ivanov              Glicko2: 1936.86
Fighter: Blagoy Ivanov              Glicko2: 1936.86
Fighter: Brandon Moreno             Glicko2: 1936.84
Fighter: Sergey Spivak              Glicko2: 1936.75
Fighter: Douglas Silva de Andrade   Glicko2: 1936.27
Fighter: Alexander Hernandez        Glicko2: 1935.98
Fighter: Magomed Mustafaev          Glicko2: 1935.67
Fighter: Julian Marquez             Glicko2: 1935.34
Fighter: Leandro Higo               Glicko2: 1935.26
Fighter: Márcio Cruz                Glicko2: 1935.19
Fighter: Carlos Felipe              Glicko2: 1934.49
Fighter: Matheus Nicolau            Glicko2: 1934.06
Fighter: Ruslan Magomedov           Glicko2: 1933.95
Fighter: Renan Barão                Glicko2: 1933.77
Fighter: Iuri Alcântara             Glicko2: 1933.07
Fighter: Drakkar Klose              Glicko2: 1932.17
Fighter: Karlos Vemola              Glicko2: 1932.14
Fighter: Karlos Vémola              Glicko2: 1932.14
Fighter: Darrion Caldwell           Glicko2: 1931.94
Fighter: Hacran Dias                Glicko2: 1931.81
Fighter: Alexander Volkov (fighter) Glicko2: 1931.54
Fighter: Ryan Hall (grappler)       Glicko2: 1931.46
Fighter: Li Jingliang               Glicko2: 1931.21
Fighter: Eduardo Dantas             Glicko2: 1931.21
Fighter: Brian Olsen                Glicko2: 1930.59
Fighter: Naoki Inoue                Glicko2: 1930.55
Fighter: James Krause (fighter)     Glicko2: 1929.79
Fighter: Magomedrasul Khasbulaev    Glicko2: 1929.64
Fighter: Joel Álvarez               Glicko2: 1929.62
Fighter: Vladimir Mineev            Glicko2: 1929.06
Fighter: Alexander Sarnavskiy       Glicko2: 1928.96
Fighter: Brian Bowles (fighter)     Glicko2: 1928.51
Fighter: Kron Gracie                Glicko2: 1928.15
Fighter: Paul Felder                Glicko2: 1927.75
Fighter: Vitor Ribeiro              Glicko2: 1926.39
Fighter: Vítor Ribeiro              Glicko2: 1926.39
Fighter: Wilson Reis                Glicko2: 1926.25
