Fighter: Paul Buentello             ELO: 1146.73
Fighter: Jason Black                ELO: 1146.58
Fighter: Chris Tuchscherer          ELO: 1146.38
Fighter: C.B. Dollaway              ELO: 1146.29
Fighter: Katsunori Kikuno           ELO: 1145.86
Fighter: Alan Jouban                ELO: 1145.77
Fighter: Andrei Semenov             ELO: 1145.61
Fighter: Wilson Reis                ELO: 1145.39
Fighter: David Mitchell             ELO: 1145.13
Fighter: Ryo Chonan                 ELO: 1145.11
Fighter: Dustin Ortiz               ELO: 1144.41
Fighter: Kevin Souza                ELO: 1144.39
Fighter: Travis Wiuff               ELO: 1144.14
Fighter: Jason Brilz                ELO: 1143.99
Fighter: Misha Cirkunov             ELO: 1143.98
Fighter: Nico Musoke                ELO: 1143.8
Fighter: Akira Kikuchi              ELO: 1143.74
Fighter: Ryan Hall                  ELO: 1143.5
Fighter: Adriano Martins            ELO: 1143.47
Fighter: Ricardo Ramos              ELO: 1143.44
Fighter: Cláudio Silva              ELO: 1143.4
Fighter: Mike Swick                 ELO: 1143.16
Fighter: Egidijus Valavicius        ELO: 1143.12
Fighter: Mark Coleman               ELO: 1142.94
Fighter: Warlley Alves              ELO: 1142.43
Fighter: Matt Serra                 ELO: 1142.15
Fighter: Steve Carl                 ELO: 1142.05
Fighter: Satoshi Ishii              ELO: 1141.98
Fighter: Keita Nakamura             ELO: 1141.84
Fighter: Willamy Freire             ELO: 1141.68
Fighter: Omar Morales               ELO: 1141.46
Fighter: Bazigit Atajev             ELO: 1141.34
Fighter: David Baron                ELO: 1141.27
Fighter: Alan Patrick               ELO: 1141.02
Fighter: Bubba Jenkins              ELO: 1140.92
Fighter: Erik Koch                  ELO: 1140.85
Fighter: Rafael Natal               ELO: 1140.79
Fighter: Karl Amoussou              ELO: 1140.74
Fighter: Luiz Firmino               ELO: 1140.41
Fighter: Daniel Kelly               ELO: 1140.24
Fighter: Diego Nunes                ELO: 1140.2
Fighter: Ilir Latifi                ELO: 1140.16
Fighter: Alexandru Lungu            ELO: 1140.12
Fighter: Kazuyuki Miyata            ELO: 1140.1
Fighter: Alexandre Franca Nogueira  ELO: 1139.96
Fighter: Roan Carneiro              ELO: 1139.42
Fighter: Javier Vazquez             ELO: 1139.2
Fighter: Brent Primus               ELO: 1139.02
Fighter: Tom Breese                 ELO: 1138.97
Fighter: John Teixeira              ELO: 1138.85
Fighter: Ian Freeman                ELO: 1138.57
Fighter: Kazuhiro Nakamura          ELO: 1138.52
Fighter: Mitsuhiro Ishida           ELO: 1138.52
Fighter: Masakatsu Funaki           ELO: 1138.36
Fighter: Joaquim Silva              ELO: 1137.71
Fighter: Billy Evangelista          ELO: 1136.72
Fighter: Quinn Mulhern              ELO: 1136.19
Fighter: Yoshihiro Akiyama          ELO: 1136.05
Fighter: Dave Herman                ELO: 1135.95
Fighter: Oleg Taktarov              ELO: 1135.93
Fighter: Forrest Petz               ELO: 1135.86
Fighter: Krzysztof Soszynski        ELO: 1135.46
Fighter: Riki Fukuda                ELO: 1135.36
Fighter: Mario Sperry               ELO: 1135.08
Fighter: Stanislav Nedkov           ELO: 1135.07
Fighter: Brendan Schaub             ELO: 1135.02
Fighter: Matthew Riddle             ELO: 1134.91
Fighter: Tyler Stinson              ELO: 1134.55
Fighter: Jimi Manuwa                ELO: 1134.16
Fighter: Joe Soto                   ELO: 1134.03
Fighter: Hiroshi Nakamura           ELO: 1134.01
Fighter: Mark Hunt                  ELO: 1133.9
Fighter: Daniel Omielanczuk         ELO: 1133.81
Fighter: Fabrício Guerreiro         ELO: 1133.57
Fighter: Tyson Griffin              ELO: 1133.56
Fighter: Chris Camozzi              ELO: 1133.24
Fighter: Pat Miletich               ELO: 1132.81
Fighter: Dennis Bermudez            ELO: 1132.67
Fighter: Brett Cooper               ELO: 1132.65
Fighter: Nate Marquardt             ELO: 1132.61
Fighter: Vinny Magalhães            ELO: 1132.43
Fighter: Dean Lister                ELO: 1132.02
Fighter: Yang Dongi                 ELO: 1131.76
Fighter: Nick Thompson              ELO: 1131.73
Fighter: Bobby Hoffman              ELO: 1131.7
Fighter: Rob Broughton              ELO: 1131.69
Fighter: Brian Olsen                ELO: 1131.64
Fighter: Rambaa Somdet              ELO: 1131.54
Fighter: Todd Duffee                ELO: 1131.37
Fighter: Josh Koscheck              ELO: 1131.28
Fighter: Patrick Holohan            ELO: 1130.41
Fighter: Michihiro Omigawa          ELO: 1130.17
Fighter: Mike Pyle                  ELO: 1130.04
Fighter: Jordan Johnson             ELO: 1129.64
Fighter: Kestutis Smirnovas         ELO: 1129.41
Fighter: Doug Marshall              ELO: 1128.86
Fighter: Kurt Pellegrino            ELO: 1128.61
Fighter: Sam Oropeza                ELO: 1128.57
Fighter: Mariusz Pudzianowski       ELO: 1128.38
Fighter: Erik Perez                 ELO: 1128.31
Fighter: Choi Doo-Ho                ELO: 1128.28
Fighter: James Vick                 ELO: 1128.26
Fighter: James Te Huna              ELO: 1128.15
Fighter: Brock Lesnar               ELO: 1128.02
Fighter: Falaniko Vitale            ELO: 1127.92
Fighter: Drakkar Klose              ELO: 1127.52
Fighter: Jeremy Stephens            ELO: 1126.58
Fighter: Stefan Struve              ELO: 1126.39
Fighter: Yuta Sasaki                ELO: 1126.27
Fighter: Joe Taimanglo              ELO: 1126.24
Fighter: Kazuhiro Sakamoto          ELO: 1126.15
Fighter: Kevin Belingon             ELO: 1125.81
Fighter: Jason Miller               ELO: 1125.67
Fighter: Emanuel Newton             ELO: 1125.33
Fighter: Amir Aliakbari             ELO: 1125.22
Fighter: Eryk Anders                ELO: 1124.88
Fighter: Jacob Noe                  ELO: 1124.81
Fighter: Rory Markham               ELO: 1124.79
Fighter: Alexandre Bezerra          ELO: 1124.78
Fighter: Nathan Quarry              ELO: 1124.74
Fighter: Stephan Bonnar             ELO: 1124.54
Fighter: Matt Wiman                 ELO: 1124.22
Fighter: Chad Griggs                ELO: 1124.2
Fighter: Mike Corey                 ELO: 1124.18
Fighter: Matt Hamill                ELO: 1123.93
Fighter: Richard Crunkilton         ELO: 1123.89
Fighter: David Michaud              ELO: 1123.86
Fighter: Thiago Tavares             ELO: 1123.85
Fighter: Yoshitaka Naito            ELO: 1123.79
Fighter: Jared Gordon               ELO: 1123.76
Fighter: Mighty Mo                  ELO: 1123.66
Fighter: Ben Saunders               ELO: 1123.55
Fighter: Giva Santana               ELO: 1123.43
Fighter: Dustin Jacoby              ELO: 1122.92
Fighter: Raphael Davis              ELO: 1122.56
Fighter: Jake O'Brien               ELO: 1122.52
Fighter: Igor Araujo                ELO: 1122.28
Fighter: Alexei Kudin               ELO: 1122.2
Fighter: Dan Cramer                 ELO: 1121.82
Fighter: Drew Dober                 ELO: 1121.72
Fighter: Márcio Cruz                ELO: 1121.39
Fighter: Johnny Eduardo             ELO: 1121.02
Fighter: Viktor Pešta               ELO: 1121.0
Fighter: Tamdan McCrory             ELO: 1120.67
Fighter: Dan Hornbuckle             ELO: 1120.66
Fighter: Yasuhiro Urushitani        ELO: 1120.52
Fighter: Ivan Jorge                 ELO: 1120.18
Fighter: Thomas Almeida             ELO: 1120.14
Fighter: Vitor Vianna               ELO: 1120.12
Fighter: Zach Micklewright          ELO: 1119.93
Fighter: Chris Horodecki            ELO: 1119.88
Fighter: Nobutatsu Suzuki           ELO: 1119.79
Fighter: Eiji Mitsuoka              ELO: 1119.78
Fighter: Aaron Simpson              ELO: 1119.65
Fighter: Guy Mezger                 ELO: 1119.43
Fighter: Tony Bonello               ELO: 1119.26
Fighter: Alonzo Menifield           ELO: 1119.0
Fighter: Magnus Cedenblad           ELO: 1118.72
Fighter: Enrique Barzola            ELO: 1118.54
Fighter: Masanori Suda              ELO: 1118.39
Fighter: Klidson Abreu              ELO: 1118.23
Fighter: Shahbulat Shamhalaev       ELO: 1117.96
Fighter: Rob Wilkinson              ELO: 1117.43
Fighter: Anthony Lapsley            ELO: 1117.33
Fighter: Allan Goes                 ELO: 1117.07
Fighter: Manvel Gamburyan           ELO: 1116.64
Fighter: Michinori Tanaka           ELO: 1116.56
Fighter: Mikihito Yamagami          ELO: 1116.3
Fighter: David Bielkheden           ELO: 1116.06
Fighter: Goran Reljić               ELO: 1115.83
Fighter: Wilson Gouveia             ELO: 1115.83
Fighter: Justin Eilers              ELO: 1115.82
Fighter: Pat Healy                  ELO: 1115.82
Fighter: Brandon Bender             ELO: 1115.61
Fighter: Masanori Kanehara          ELO: 1115.42
Fighter: David Loiseau              ELO: 1115.41
