Fighter: Ed Herman                  ELO: 1150.13
Fighter: Brett Johns                ELO: 1150.1
Fighter: Volk Han                   ELO: 1150.06
Fighter: Mirsad Bektić              ELO: 1149.71
Fighter: Rumen Dimitrov             ELO: 1149.5
Fighter: Alexandru Lungu            ELO: 1149.39
Fighter: Zubaira Tukhugov           ELO: 1149.3
Fighter: Warlley Alves              ELO: 1149.22
Fighter: Ryota Matsune              ELO: 1148.76
Fighter: Jim Miller                 ELO: 1148.69
Fighter: Ryo Chonan                 ELO: 1148.51
Fighter: Miguel Torres              ELO: 1148.22
Fighter: Ovince St. Preux           ELO: 1148.1
Fighter: Adam McDonough             ELO: 1147.96
Fighter: Rafael Natal               ELO: 1147.82
Fighter: Paul Buentello             ELO: 1147.73
Fighter: Shintaro Ishiwatari        ELO: 1147.6
Fighter: Arjan Bhullar              ELO: 1147.37
Fighter: Uchu Tatsumi               ELO: 1147.3
Fighter: Matt Schnell               ELO: 1147.26
Fighter: Brian Stann                ELO: 1147.22
Fighter: Jason Black                ELO: 1146.57
Fighter: Wilson Reis                ELO: 1146.51
Fighter: C.B. Dollaway              ELO: 1146.48
Fighter: Olivier Aubin-Mercier      ELO: 1146.47
Fighter: Chris Tuchscherer          ELO: 1146.38
Fighter: Katsunori Kikuno           ELO: 1145.89
Fighter: Andrei Semenov             ELO: 1145.61
Fighter: Misha Cirkunov             ELO: 1145.61
Fighter: Jeremy Stephens            ELO: 1145.16
Fighter: David Mitchell             ELO: 1145.14
Fighter: Alan Jouban                ELO: 1145.13
Fighter: Kevin Souza                ELO: 1144.39
Fighter: Dustin Ortiz               ELO: 1144.25
Fighter: Travis Wiuff               ELO: 1144.05
Fighter: Jason Brilz                ELO: 1144.01
Fighter: Ricardo Ramos              ELO: 1143.99
Fighter: Ryan Hall                  ELO: 1143.88
Fighter: Nico Musoke                ELO: 1143.82
Fighter: Akira Kikuchi              ELO: 1143.74
Fighter: Cláudio Silva              ELO: 1143.53
Fighter: Adriano Martins            ELO: 1143.52
Fighter: Mike Swick                 ELO: 1143.16
Fighter: Egidijus Valavicius        ELO: 1143.12
Fighter: Mark Coleman               ELO: 1142.94
Fighter: Matt Serra                 ELO: 1142.15
Fighter: Steve Carl                 ELO: 1142.05
Fighter: Keita Nakamura             ELO: 1141.96
Fighter: Willamy Freire             ELO: 1141.68
Fighter: Omar Morales               ELO: 1141.47
Fighter: Bazigit Atajev             ELO: 1141.34
Fighter: David Baron                ELO: 1141.27
Fighter: Antônio Carlos Júnior      ELO: 1141.05
Fighter: Ilir Latifi                ELO: 1140.95
Fighter: Alan Patrick               ELO: 1140.94
Fighter: Erik Koch                  ELO: 1140.91
Fighter: Luiz Firmino               ELO: 1140.79
Fighter: Daniel Kelly               ELO: 1140.28
Fighter: Diego Nunes                ELO: 1140.2
Fighter: Kazuyuki Miyata            ELO: 1140.1
Fighter: Alexandre Franca Nogueira  ELO: 1139.96
Fighter: Roan Carneiro              ELO: 1139.44
Fighter: Javier Vazquez             ELO: 1139.2
Fighter: Tom Breese                 ELO: 1138.97
Fighter: John Teixeira              ELO: 1138.85
Fighter: Ian Freeman                ELO: 1138.57
Fighter: Kazuhiro Nakamura          ELO: 1138.52
Fighter: Mitsuhiro Ishida           ELO: 1138.52
Fighter: Joaquim Silva              ELO: 1138.45
Fighter: Masakatsu Funaki           ELO: 1138.36
Fighter: Forrest Petz               ELO: 1138.26
Fighter: Billy Evangelista          ELO: 1136.72
Fighter: Quinn Mulhern              ELO: 1136.22
Fighter: Dave Herman                ELO: 1136.08
Fighter: Yoshihiro Akiyama          ELO: 1136.05
Fighter: Oleg Taktarov              ELO: 1135.93
Fighter: Brendan Schaub             ELO: 1135.53
Fighter: Krzysztof Soszynski        ELO: 1135.46
Fighter: Riki Fukuda                ELO: 1135.37
Fighter: Mario Sperry               ELO: 1135.08
Fighter: Stanislav Nedkov           ELO: 1135.06
Fighter: Jimi Manuwa                ELO: 1135.0
Fighter: Matthew Riddle             ELO: 1134.91
Fighter: Tyler Stinson              ELO: 1134.55
Fighter: Mark Hunt                  ELO: 1134.07
Fighter: Joe Soto                   ELO: 1134.03
Fighter: Hiroshi Nakamura           ELO: 1134.01
Fighter: Daniel Omielanczuk         ELO: 1133.84
Fighter: Fabrício Guerreiro         ELO: 1133.57
Fighter: Tyson Griffin              ELO: 1133.56
Fighter: Pat Miletich               ELO: 1132.81
Fighter: Dennis Bermudez            ELO: 1132.67
Fighter: Rob Broughton              ELO: 1132.55
Fighter: Vinny Magalhães            ELO: 1132.43
Fighter: Dean Lister                ELO: 1132.02
Fighter: Yang Dongi                 ELO: 1131.76
Fighter: Nick Thompson              ELO: 1131.73
Fighter: Bobby Hoffman              ELO: 1131.7
Fighter: Brian Olsen                ELO: 1131.64
Fighter: Rambaa Somdet              ELO: 1131.54
Fighter: Josh Koscheck              ELO: 1131.51
Fighter: Todd Duffee                ELO: 1131.39
Fighter: Mariusz Pudzianowski       ELO: 1131.27
Fighter: Karl Amoussou              ELO: 1131.2
Fighter: Matt Wiman                 ELO: 1130.6
Fighter: Aung La Nsang              ELO: 1130.41
Fighter: Patrick Holohan            ELO: 1130.41
Fighter: Mike Pyle                  ELO: 1130.2
Fighter: Michihiro Omigawa          ELO: 1130.17
Fighter: Marius Žaromskis           ELO: 1129.73
Fighter: Jordan Johnson             ELO: 1129.64
Fighter: Kestutis Smirnovas         ELO: 1129.41
Fighter: Gabriel Benitez            ELO: 1128.94
Fighter: Doug Marshall              ELO: 1128.87
Fighter: James Te Huna              ELO: 1128.61
Fighter: Kurt Pellegrino            ELO: 1128.61
Fighter: Erik Perez                 ELO: 1128.31
Fighter: Choi Doo-Ho                ELO: 1128.27
Fighter: Brock Lesnar               ELO: 1128.02
Fighter: Falaniko Vitale            ELO: 1127.92
Fighter: Sam Oropeza                ELO: 1127.63
Fighter: Drakkar Klose              ELO: 1127.53
Fighter: Tatsuya Mizuno             ELO: 1127.51
Fighter: Satoshi Ishii              ELO: 1127.41
Fighter: Yuta Sasaki                ELO: 1127.19
Fighter: Sam Alvey                  ELO: 1127.1
Fighter: James Vick                 ELO: 1127.07
Fighter: Kevin Belingon             ELO: 1126.99
Fighter: Stefan Struve              ELO: 1126.8
Fighter: Emanuel Newton             ELO: 1126.65
Fighter: Joe Taimanglo              ELO: 1126.24
Fighter: Kazuhiro Sakamoto          ELO: 1126.15
Fighter: Jason Knight               ELO: 1125.7
Fighter: Jason Miller               ELO: 1125.67
Fighter: Amir Aliakbari             ELO: 1125.63
Fighter: Chad Griggs                ELO: 1125.06
Fighter: Eryk Anders                ELO: 1124.98
Fighter: Jacob Noe                  ELO: 1124.81
Fighter: Rory Markham               ELO: 1124.79
Fighter: Alexandre Bezerra          ELO: 1124.78
Fighter: Nathan Quarry              ELO: 1124.74
Fighter: Stephan Bonnar             ELO: 1124.55
Fighter: Mike Corey                 ELO: 1124.18
Fighter: Matt Hamill                ELO: 1123.93
Fighter: Thiago Tavares             ELO: 1123.91
Fighter: Richard Crunkilton         ELO: 1123.89
Fighter: Jared Gordon               ELO: 1123.82
Fighter: Yoshitaka Naito            ELO: 1123.79
Fighter: Mighty Mo                  ELO: 1123.78
Fighter: Giva Santana               ELO: 1123.44
Fighter: Chris Camozzi              ELO: 1122.87
Fighter: Brett Cooper               ELO: 1122.74
Fighter: Nate Marquardt             ELO: 1122.74
Fighter: Alexei Kudin               ELO: 1122.62
Fighter: John Howard                ELO: 1122.58
Fighter: Raphael Davis              ELO: 1122.57
Fighter: Jake O'Brien               ELO: 1122.52
Fighter: Igor Araujo                ELO: 1122.28
Fighter: Chris Wade                 ELO: 1122.26
Fighter: Drew Dober                 ELO: 1122.1
Fighter: Dan Cramer                 ELO: 1121.79
Fighter: Márcio Cruz                ELO: 1121.39
Fighter: Viktor Pešta               ELO: 1121.11
Fighter: Johnny Eduardo             ELO: 1121.02
Fighter: Dan Hornbuckle             ELO: 1120.92
Fighter: Tamdan McCrory             ELO: 1120.66
Fighter: Yasuhiro Urushitani        ELO: 1120.52
Fighter: Thomas Almeida             ELO: 1120.13
Fighter: Vitor Vianna               ELO: 1120.12
Fighter: Zach Micklewright          ELO: 1119.97
Fighter: Chris Horodecki            ELO: 1119.88
Fighter: Ivan Jorge                 ELO: 1119.83
Fighter: Nobutatsu Suzuki           ELO: 1119.81
Fighter: Eiji Mitsuoka              ELO: 1119.78
Fighter: Aaron Simpson              ELO: 1119.65
Fighter: Guy Mezger                 ELO: 1119.43
Fighter: Tony Bonello               ELO: 1119.25
Fighter: Magnus Cedenblad           ELO: 1118.72
Fighter: Enrique Barzola            ELO: 1118.54
Fighter: Masanori Suda              ELO: 1118.39
Fighter: Klidson Abreu              ELO: 1118.38
Fighter: Shahbulat Shamhalaev       ELO: 1117.96
Fighter: Herman Terrado             ELO: 1117.53
Fighter: Rob Wilkinson              ELO: 1117.43
Fighter: Anthony Lapsley            ELO: 1117.39
Fighter: David Michaud              ELO: 1117.23
Fighter: Allan Goes                 ELO: 1117.07
Fighter: Manvel Gamburyan           ELO: 1116.8
Fighter: Michinori Tanaka           ELO: 1116.56
Fighter: Mikihito Yamagami          ELO: 1116.3
Fighter: Nordine Taleb              ELO: 1116.11
